gene_id,GENENAME,COMMON,DESCRIPTION,SGD,UNIPROT,GO,ONTOLOGY,PATH,PFAM,INTERPRO
YBL080C,PET112,PET112,Subunit of the trimeric GatFAB AmidoTransferase(AdT) complex; involved in the formation of Q-tRNAQ; mutation is functionally complemented by the bacterial GatB ortholog,S000000176,A6ZKM2,GO:0000166;GO:0003824;GO:0005524;GO:0005739;GO:0006412;GO:0016874;GO:0016884;GO:0030956;GO:0032543;GO:0050567;GO:0070681,BP;CC;MF,00970;01100,PF02637;PF02934,IPR003789;IPR004413;IPR006075;IPR017958;IPR017959;IPR018027
YBL081W,NA,NA,Non-essential protein of unknown function; null mutation results in a decrease in plasma membrane electron transport,S000000177,B5VDR0,GO:0003674;GO:0005575;GO:0008150,BP;CC;MF,,PF17298,
YBL082C,ALG3,ALG3,"Dolichol-P-Man dependent alpha(1-3) mannosyltransferase; involved in synthesis of dolichol-linked oligosaccharide donor for N-linked glycosylation of proteins; G353A missense mutation in human ortholog ALG3 implicated in carbohydrate deficient glycoprotein syndrome type IV, which is characterized by microcephaly, severe epilepsy, minimal psychomotor development, partial deficiency of sialic acids in serum glycoproteins; wild-type human ALG3 can complement yeast alg3 mutant",S000000178,A0A0L8VVH1,GO:0000030;GO:0005783;GO:0005789;GO:0005829;GO:0006486;GO:0006488;GO:0009101;GO:0016740;GO:0016757;GO:0052925,BP;CC;MF,00510;00513;01100,PF05208,IPR007873
YBL083C,NA,NA,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; overlaps verified ORF ALG3",S000000179,NA,,,,,
YBL084C,CDC27,CDC27,"Subunit of the Anaphase-Promoting Complex/Cyclosome (APC/C); APC/C is a ubiquitin-protein ligase required for degradation of anaphase inhibitors, including mitotic cyclins, during the metaphase/anaphase transition",S000000180,D6VPS0,GO:0005634;GO:0005680;GO:0005737;GO:0007091;GO:0016567;GO:0031145;GO:0034399;GO:0051301;GO:0061630;GO:0140767,BP;CC;MF,04111;04113;04120,PF00515;PF12895;PF13181;PF13432,IPR001440;IPR011990;IPR013026;IPR019734
YBL085W,BOI1,BOI1,"Protein involved in polar growth, functionally redundant with Boi2p; required for fusion of secretory vesicles with plasma membrane at sites of polarized growth; interacts with bud-emergence protein Bem1p; contains an SH3 (src homology 3) domain and a PH (pleckstrin homology) domain; relocalizes from bud neck to cytoplasm upon DNA replication stress; BOI1 has a paralog, BOI2, that arose from the whole genome duplication",S000000181,B3LNL6,GO:0000920;GO:0001881;GO:0005543;GO:0005737;GO:0005769;GO:0005802;GO:0005829;GO:0005886;GO:0005933;GO:0005935;GO:0006887;GO:0007015;GO:0007032;GO:0007118;GO:0030427;GO:0042147;GO:0043332;GO:0051301;GO:0055037;GO:0099500,BP;CC;MF,,PF00018;PF00169;PF07647,IPR001452;IPR001660;IPR001849;IPR011993;IPR013761
YBL086C,NA,NA,Protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the cell periphery,S000000182,A0A0L8VVH4,GO:0003674;GO:0005575;GO:0008150,BP;CC;MF,,PF10358,IPR019448
YBL087C,RPL23A,RPL23A,"Ribosomal 60S subunit protein L23A; homologous to mammalian ribosomal protein L23 and bacterial L14; RPL23A has a paralog, RPL23B, that arose from the whole genome duplication",S000000183,A0A0L8VVR0,GO:0002181;GO:0003735;GO:0005737;GO:0005840;GO:0006412;GO:0022625;GO:0070180;GO:1990904,BP;CC;MF,03010,PF00238,IPR000218;IPR019972
YBL088C,TEL1,TEL1,Protein kinase primarily involved in telomere length regulation; contributes to cell cycle checkpoint control in response to DNA damage; binds to phosphatidylinositol-4-phosphate; acts with Red1p and Mec1p to promote interhomolog recombination by phosphorylation of Hop1; functionally redundant with Mec1p; regulates P-body formation induced by replication stress; homolog of human ataxia-telangiectasia mutated (ATM) gene,S000000184,C7GSF6,GO:0000077;GO:0000166;GO:0000723;GO:0000781;GO:0004672;GO:0004674;GO:0005524;GO:0005634;GO:0005694;GO:0005739;GO:0006281;GO:0006302;GO:0006325;GO:0006974;GO:0016301;GO:0016740;GO:0016773;GO:0033554;GO:0035556;GO:0042162;GO:0042770;GO:0070273;GO:0106310,BP;CC;MF,,PF00454;PF02260;PF11640,IPR000403;IPR003152;IPR011009;IPR014009;IPR015519;IPR018936;IPR021668
YBL089W,AVT5,AVT5,"Putative transporter; member of a family of seven S. cerevisiae genes (AVT1-7) related to vesicular GABA-glycine transporters; AVT5 has a paralog, AVT6, that arose from the whole genome duplication",S000000185,A0A0L8VW35,GO:0000329;GO:0003333;GO:0005290;GO:0005302;GO:0005313;GO:0005774;GO:0006865;GO:0015189;GO:0015194;GO:0015813;GO:0015825;GO:0015828;GO:0016020;GO:0022857;GO:0055085;GO:0061459;GO:0089709;GO:1903401;GO:1903826,BP;CC;MF,,PF01490,IPR013057
YBL090W,MRP21,MRP21,Mitochondrial ribosomal protein of the small subunit; MRP21 exhibits genetic interactions with mutations in the COX2 and COX3 mRNA 5'-untranslated leader sequences,S000000186,A0A0L8VVM2,GO:0003735;GO:0005739;GO:0005763;GO:0005840;GO:0006412;GO:0032543;GO:0070124;GO:1990904,BP;CC;MF,,PF01165,IPR001911
YBL091C,MAP2,MAP2,Methionine aminopeptidase; catalyzes the cotranslational removal of N-terminal methionine from nascent polypeptides; function is partially redundant with that of Map1p,S000000187,A0A0L8VVI0,GO:0004177;GO:0004239;GO:0005634;GO:0005737;GO:0006508;GO:0008233;GO:0008235;GO:0016787;GO:0046872;GO:0051604;GO:0070006,BP;CC;MF,,PF00557,IPR000994;IPR001714;IPR002468;IPR011991;IPR018349
YBL091C-A,SCS22,SCS22,"Cytosolic protein involved in the regulation of phospholipid metabolism; one of 6 proteins (Ist2p, Scs2p, Scs22p, Tcb1p, Tcb2p, Tcb3p) that connect the ER and plasma membrane (PM); regulates PI4P levels by controlling access of Sac1p to PM substrate PI4P; VAMP-associated protein (VAP) homolog; role in NVJ integrity and micronucleophagy; SCS22 has a paralog, SCS2, that arose from the whole genome duplication",S000007228,B3LNM3,GO:0003674;GO:0005789;GO:0005829;GO:0005886;GO:0008654;GO:0016020;GO:0043495;GO:0060304;GO:0061709;GO:0061817;GO:0090158,BP;CC;MF,,PF00635,IPR000535;IPR008962;IPR016763
YBL092W,RPL32,RPL32,"Ribosomal 60S subunit protein L32; overexpression disrupts telomeric silencing; homologous to mammalian ribosomal protein L32, no bacterial homolog",S000000188,A0A0L8VVI3,GO:0002181;GO:0003735;GO:0005737;GO:0005840;GO:0006412;GO:0022625;GO:1990904,BP;CC;MF,03010,PF01655,IPR001515;IPR018263
YBL093C,ROX3,ROX3,Subunit of the RNA polymerase II mediator complex; associates with core polymerase subunits to form the RNA polymerase II holoenzyme,S000000189,A0A0L8VW39,GO:0000122;GO:0001113;GO:0003712;GO:0003713;GO:0005634;GO:0006357;GO:0016592;GO:0045944;GO:0051123;GO:0070847,BP;CC;MF,,PF08633,IPR013942
YBL094C,NA,NA,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps uncharacterized ORF YBL095W",S000000190,NA,,,,,
YBL095W,MRX3,MRX3,"Protein that associates with mitochondrial ribosome; likely functions in cristae junction formation; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies",S000000191,A0A0L8VVM8,GO:0003674;GO:0005739;GO:0005743;GO:0008150,BP;CC;MF,,PF03061,IPR006683;IPR029069
YBL096C,NA,NA,Non-essential protein of unknown function,S000000192,NA,,,,,
YBL097W,BRN1,BRN1,Subunit of the condensin complex; required for chromosome condensation and for clustering of tRNA genes at the nucleolus; may influence multiple aspects of chromosome transmission,S000000193,B3LNM7,GO:0000070;GO:0000796;GO:0003682;GO:0005634;GO:0005694;GO:0005737;GO:0007076;GO:0030261;GO:0051301;GO:0070058,BP;CC;MF,04111,PF05786,IPR022816
YBL098W,BNA4,BNA4,Kynurenine 3-monooxygenase; required for the de novo biosynthesis of NAD from tryptophan via kynurenine; expression regulated by Hst1p; localizes to mitochondria and peroxisomes; putative therapeutic target for Huntington disease,S000000194,A6ZKK6,GO:0004497;GO:0004502;GO:0005739;GO:0005741;GO:0005777;GO:0005829;GO:0006569;GO:0009435;GO:0016491;GO:0019363;GO:0019442;GO:0019805;GO:0031966;GO:0034354;GO:0043420;GO:0050660;GO:0070189;GO:0071949,BP;CC;MF,00380;01100,PF01494,IPR002938;IPR023753;IPR027545
YBL099W,ATP1,ATP1,"Alpha subunit of the F1 sector of mitochondrial F1F0 ATP synthase; which is a large, evolutionarily conserved enzyme complex required for ATP synthesis; F1 translationally regulates ATP6 and ATP8 expression to achieve a balanced output of ATP synthase genes encoded in nucleus and mitochondria; phosphorylated; N-terminally propionylated in vivo",S000000195,A0A0L8VVI8,GO:0000166;GO:0005524;GO:0005739;GO:0005743;GO:0006754;GO:0006811;GO:0015986;GO:0016887;GO:0032559;GO:0042645;GO:0043531;GO:0045259;GO:0046034;GO:0046933;GO:1902600,BP;CC;MF,00190;01100,PF00006;PF00306;PF02874,IPR000194;IPR000793;IPR004100;IPR005294;IPR020003;IPR023366;IPR027417;IPR033732
YBL100C,NA,NA,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; almost completely overlaps the 5' end of ATP1",S000000196,NA,,,,,
YBL100W-C,NA,YBL101W-C,"Putative protein of unknown function; identified by gene-trapping, microarray-based expression analysis, and genome-wide homology searching",S000028598,A6ZKK4,GO:0003674;GO:0005575;GO:0008150,BP;CC;MF,,,
YBL101C,ECM21,ECM21,"Alpha-arrestin, ubiquitin ligase adaptor for Rsp5p; regulates starvation- and substrate-induced Ub-dependent endocytosis of select plasma membrane localized amino acid transporters; substrate of Rsp5p-mediated Lys63-polyubiquitination and Ubp2-mediated deubiquitination; promoter contains several Gcn4p binding sites required for induction in response to starvation via Gcn4p and the general amino acid control pathway; ECM21 has a paralog, CSR2, that arose from the whole genome duplication",S000000197,A0A0L8VW43,GO:0005737;GO:0005829;GO:0009267;GO:0030674;GO:0031625;GO:0033554;GO:0070086;GO:0071230;GO:0071555,BP;CC;MF,,PF02752,IPR011022
YBL102W,SFT2,SFT2,"Tetra-spanning membrane protein found mostly in the late Golgi; non-essential; can suppress some sed5 alleles; may be part of the transport machinery, but precise function is unknown; similar to mammalian syntaxin 5",S000000198,A0A0L8VVN3,GO:0000138;GO:0000139;GO:0003674;GO:0005737;GO:0005829;GO:0012505;GO:0015031;GO:0016020;GO:0016192;GO:0042147,BP;CC;MF,,PF04178,IPR007305;IPR011691
YBL103C,RTG3,RTG3,"bHLH/Zip transcription factor for retrograde (RTG) and TOR pathways; forms a complex with another bHLH/Zip protein, Rtg1p, to activate the pathways; target of Hog1p",S000000199,A0A0L8VVJ2,GO:0000422;GO:0000978;GO:0000981;GO:0003677;GO:0005634;GO:0005737;GO:0006357;GO:0031930;GO:0043565;GO:0045944;GO:0046983;GO:0061629;GO:0071400,BP;CC;MF,,PF00010,IPR011598;IPR024099
YBL104C,SEA4,SEA4,"Subunit of SEACAT, a subcomplex of the SEA complex; Sea4p, along with Rtc1p and Mtc5p, redundantly inhibit the TORC1 inhibitory role of the Iml1p/SEACIT (Iml1p-Npr2p-Npr3p) subcomplex, a GAP for GTPase Gtr1p (EGOC subunit) in response to amino acid limitation, thereby resulting in activation of TORC1 signaling; SEA is a coatomer-related complex that associates dynamically with the vacuole; contains an N-terminal beta-propeller fold and a C-terminal RING motif",S000000200,A6ZKK0,GO:0005737;GO:0005774;GO:0008270;GO:0015031;GO:0035859;GO:1904263,BP;CC;MF,,PF17034;PF21719,IPR013083;IPR015943;IPR017986;IPR031488
YBL105C,PKC1,PKC1,"Protein serine/threonine kinase; essential for cell wall remodeling during growth; localized to sites of polarized growth and the mother-daughter bud neck; homolog of the alpha, beta, and gamma isoforms of mammalian protein kinase C (PKC)",S000000201,A0A0L8VVJ3,GO:0000166;GO:0000425;GO:0004672;GO:0004674;GO:0004697;GO:0005524;GO:0005634;GO:0005737;GO:0005856;GO:0005886;GO:0005935;GO:0007165;GO:0008270;GO:0009267;GO:0009272;GO:0010494;GO:0010606;GO:0016301;GO:0016740;GO:0030427;GO:0032165;GO:0032186;GO:0034063;GO:0035556;GO:0046872;GO:0060211;GO:0060237;GO:0106310,BP;CC;MF,04011;04070,PF00069;PF00130;PF00168;PF00433;PF02185,IPR000008;IPR000719;IPR000961;IPR002219;IPR008271;IPR011009;IPR011072;IPR017441;IPR017892
YBL106C,SRO77,SRO77,"Protein with roles in exocytosis and cation homeostasis; functions in docking and fusion of post-Golgi vesicles with plasma membrane; regulates cell proliferation and colony development via the Rho1-Tor1 pathway; interacts with SNARE protein Sec9p; homolog of Drosophila lethal giant larvae tumor suppressor; SRO77 has a paralog, SRO7, that arose from the whole genome duplication",S000000202,A0A0L8VW47,GO:0003674;GO:0005096;GO:0005737;GO:0005886;GO:0005935;GO:0006887;GO:0006893;GO:0019905;GO:0045159,BP;CC;MF,,PF08596,IPR001680;IPR013905;IPR015943;IPR017986;IPR019775
YBL107C,MIX23,MIX23,Mitochondrial intermembrane space protein of unknown function; imported via the MIA import machinery; contains an unusual twin cysteine motif (CX13C CX14C),S000000203,A0A0L8VVN7,GO:0003674;GO:0005737;GO:0005739;GO:0005758;GO:0008150;GO:0015031,BP;CC;MF,,PF09774,IPR016805;IPR019171
YBL107W-A,NA,NA,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; completely overlaps the Ty2 LTR YBLWdelta2; YBL107W-A has a paralog, YER138W-A, that arose from a single-locus duplication",S000007229,NA,,,,,
YBL108C-A,PAU9,PAU9,Protein of unknown function; member of the seripauperin multigene family encoded mainly in subtelomeric regions; SWAT-GFP and mCherry fusion proteins localize to the endoplasmic reticulum and vacuole respectively,S000007592,NA,GO:0003674;GO:0005199;GO:0005575;GO:0008150;GO:0009277;GO:0031505,BP;CC;MF,,,IPR000992
YBL108W,NA,NA,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data",S000000204,NA,,,,,
YBL111C,NA,NA,Helicase-like protein encoded within the telomeric Y' element; relocalizes from mitochondrion to cytoplasm upon DNA replication stress,S000002151,D6VPP4,GO:0000166;GO:0003674;GO:0003676;GO:0005524;GO:0005739;GO:0008150,BP;CC;MF,,PF00270;PF11603,IPR011545;IPR014001;IPR021646;IPR027417
YBL112C,NA,NA,Protein of unknown function; YBL112C is contained within TEL02L,S000002152,A0A023PXF5,GO:0003674;GO:0005575;GO:0008150,BP;CC;MF,,PF00271,IPR001650;IPR027417
YBL113C,NA,NA,Helicase-like protein encoded within the telomeric Y' element,S000002153,D6VPP2,GO:0003674;GO:0005575;GO:0005737;GO:0008150,BP;CC;MF,,,
YBR001C,NTH2,NTH2,"Putative neutral trehalase, required for thermotolerance; may mediate resistance to other cellular stresses; NTH2 has a paralog, NTH1, that arose from the whole genome duplication",S000000205,D6VQ02,GO:0004555;GO:0005509;GO:0005737;GO:0005739;GO:0005975;GO:0005991;GO:0005993;GO:0016787;GO:0016798,BP;CC;MF,00500,PF01204;PF07492,IPR001661;IPR008928;IPR011120;IPR018232
YBR002C,RER2,RER2,"Forms the dehydrodolichyl diphosphate synthase (DDS) complex with NUS1; major enzyme of polyprenol synthesis in both the endoplasmic reticulum (ER) and in lipid droplets; participates in ER protein sorting; human ortholog DHDDS functionally complements the heat sensitive growth defect of a ts allele, and is associated with retinitis pigmentosa",S000000206,B3LND8,GO:0004659;GO:0005783;GO:0005789;GO:0005811;GO:0006486;GO:0006888;GO:0009101;GO:0016094;GO:0016740;GO:0016765;GO:0043048;GO:0045547;GO:1904423,BP;CC;MF,00900;01110,PF01255,IPR001441;IPR018520
YBR003W,COQ1,COQ1,Hexaprenyl pyrophosphate synthetase; catalyzes the first step in ubiquinone (coenzyme Q) biosynthesis,S000000207,A6ZKV0,GO:0000010;GO:0004659;GO:0005739;GO:0005743;GO:0005829;GO:0006744;GO:0008299;GO:0016740;GO:0032476;GO:0046872;GO:1901663,BP;CC;MF,00900;01110,PF00348,IPR000092;IPR008949;IPR033749
YBR004C,GPI18,GPI18,"Functional ortholog of human PIG-V; PIG-V is a mannosyltransferase that transfers the second mannose in glycosylphosphatidylinositol biosynthesis; the authentic, non-tagged protein was localized to mitochondria",S000000208,D6VQ05,GO:0000009;GO:0000030;GO:0004376;GO:0005739;GO:0005783;GO:0005789;GO:0006506;GO:0016740;GO:0016757;GO:0031501;GO:0120563,BP;CC;MF,00563;01100,PF04188,IPR007315
YBR005W,RCR1,RCR1,"Plasma membrane (PM) ubiquitin ligase-substrate adaptor; involved in cell wall chitin deposition; ubiquitinates and down-regulates chitin synthase Chs3p abundance at PM via calcineurin/Crz1 signaling pathway which regulates RCR1 expression; delivered to PM by exomer complex using novel PM sorting motif; RCR1 has a paralog, RCR2, that arose from the whole genome duplication",S000000209,C7GM44,GO:0005789;GO:0005886;GO:0006033;GO:0016192;GO:0043495;GO:0071555;GO:0072659,BP;CC;MF,,PF12273,IPR020999
YBR006W,UGA2,UGA2,Succinate semialdehyde dehydrogenase; involved in the utilization of gamma-aminobutyrate (GABA) as a nitrogen source; part of the 4-aminobutyrate and glutamate degradation pathways; localized to the cytoplasm,S000000210,A0A0L8VVD7,GO:0004777;GO:0005737;GO:0005829;GO:0006540;GO:0009013;GO:0009450;GO:0016491;GO:0016620;GO:0034599;GO:0036243,BP;CC;MF,00250;00350;00650;01100,PF00171,IPR010102;IPR015590;IPR016161;IPR016162;IPR016163;IPR029510
YBR007C,DSF2,DSF2,Deletion suppressor of mpt5 mutation; relocalizes from bud neck to cytoplasm upon DNA replication stress,S000000211,D6VQ08,GO:0003674;GO:0005934;GO:0008150;GO:0010972;GO:0032153,BP;CC;MF,,,IPR006597;IPR011990
YBR008C,FLR1,FLR1,"Plasma membrane transporter of the major facilitator superfamily; member of the 12-spanner drug:H(+) antiporter DHA1 family; involved in efflux of fluconazole, diazaborine, benomyl, methotrexate, and other drugs; expression induced in cells treated with the mycotoxin patulin; relocalizes from nucleus to plasma membrane upon DNA replication stress",S000000212,D6VQ09,GO:0005634;GO:0005737;GO:0005886;GO:0015244;GO:0015903;GO:0016020;GO:0022857;GO:0042908;GO:0042910;GO:0055085;GO:0071944;GO:1990961,BP;CC;MF,,PF07690,IPR004734;IPR011701;IPR020846
YBR009C,HHF1,HHF1,Histone H4; core histone protein required for chromatin assembly and chromosome function; one of two identical histone proteins (see also HHF2); contributes to telomeric silencing; involved in mRNA multiplexing; N-terminal domain involved in maintaining genomic integrity,S000000213,A0A0L8VV91,GO:0000786;GO:0003677;GO:0005634;GO:0005694;GO:0006325;GO:0006334;GO:0030527;GO:0046982,BP;CC;MF,,PF15511,IPR001951;IPR009072;IPR019809
YBR010W,HHT1,HHT1,"Histone H3; core histone protein required for chromatin assembly, part of heterochromatin-mediated telomeric and HM silencing; one of two identical histone H3 proteins (see HHT2); regulated by acetylation, methylation, and phosphorylation; H3K14 acetylation plays an important role in the unfolding of strongly positioned nucleosomes during repair of UV damage",S000000214,A0A0L8VIS1,GO:0000776;GO:0000786;GO:0003677;GO:0005634;GO:0005694;GO:0006325;GO:0006878;GO:0007080;GO:0008823;GO:0009060;GO:0009303;GO:0030527;GO:0031492;GO:0031507;GO:0043505;GO:0043935;GO:0046982;GO:0051382;GO:0070911,BP;CC;MF,,PF00125,IPR000164;IPR007125;IPR009072
YBR011C,IPP1,IPP1,"Cytoplasmic inorganic pyrophosphatase (PPase); homodimer that catalyzes the rapid exchange of oxygens from Pi with water, highly expressed and essential for viability, active-site residues show identity to those from E. coli PPase",S000000215,A0A0L8VVW9,GO:0000287;GO:0004427;GO:0005634;GO:0005737;GO:0005739;GO:0006796;GO:0016787;GO:0046872,BP;CC;MF,00190,PF00719,IPR008162
YBR012C,NA,NA,Dubious open reading frame; appears conserved and shows evidence of preservation by purifying selection within the Saccharomycotina subphylum; expression induced by iron-regulated transcriptional activator Aft2p,S000000216,NA,,,,,
YBR013C,NA,NA,Protein of unknown function; haploid deletion mutant exhibits synthetic phenotype with alpha-synuclein; SWAT-GFP fusion protein localizes to the endoplasmic reticulum while mCherry fusion protein localizes to both the endoplasmic reticulum and vacuole,S000000217,D6VQ15,GO:0003674;GO:0005783;GO:0008150,BP;CC;MF,,,
YBR014C,GRX7,GRX7,"Cis-golgi localized monothiol glutaredoxin; more similar in activity to dithiol than other monothiol glutaredoxins; involved in the oxidative stress response; does not bind metal ions; GRX7 has a paralog, GRX6, that arose from the whole genome duplication",S000000218,A6ZKW0,GO:0000324;GO:0004362;GO:0005737;GO:0005794;GO:0005796;GO:0005801;GO:0015038;GO:0016020;GO:0034599;GO:0046872;GO:0051536;GO:0051537;GO:0098869,BP;CC;MF,,PF00462,IPR002109;IPR011899;IPR012336;IPR014025
YBR015C,MNN2,MNN2,"Alpha-1,2-mannosyltransferase; responsible for addition of the first alpha-1,2-linked mannose to form the branches on the mannan backbone of oligosaccharides, localizes to an early Golgi compartment",S000000219,A0A0L8VVG9,GO:0000026;GO:0000139;GO:0005794;GO:0006486;GO:0009101;GO:0016740;GO:0016757;GO:0046354,BP;CC;MF,00513;01100,PF11051,IPR022751;IPR029044
YBR016W,CPP1,CPP1,"Tail-anchored plasma membrane (PM) protein; C-terminal palmitoylation is required for membrane anchoring and protein stability; PM localization is polarized to the daughter cell; contains a conserved, cysteine-rich palmitoylated domain (CYSPD, aka CYSTM); similarity to hydrophilins, proteins involved in the adaptive response to hyperosmotic conditions; CPP1 has a paralog, YDL012C, that arose from the whole genome duplication",S000000220,A0A0L8VV87,GO:0003674;GO:0005886;GO:0008150;GO:0033101;GO:0070250,BP;CC;MF,,PF12734,
YBR017C,KAP104,KAP104,Transportin or cytosolic karyopherin beta 2; functions in the rg-nuclear localization signal-mediated nuclear import/reimport of mRNA-binding proteins Nab2p and Hrp1p; regulates asymmetric protein synthesis in daughter cells during mitosis,S000000221,B3LNC4,GO:0005634;GO:0005643;GO:0005737;GO:0005829;GO:0005934;GO:0005935;GO:0006606;GO:0008139;GO:0010458;GO:0015031;GO:0051028;GO:0061608,BP;CC;MF,,PF02985;PF13513,IPR000357;IPR011989;IPR016024
YBR018C,GAL7,GAL7,Galactose-1-phosphate uridyl transferase; synthesizes glucose-1-phosphate and UDP-galactose from UDP-D-glucose and alpha-D-galactose-1-phosphate in the second step of galactose catabolism; human homolog UGP2 can complement yeast null mutant,S000000222,A0A0L8VVW4,GO:0005737;GO:0005829;GO:0006012;GO:0006796;GO:0008108;GO:0008270;GO:0016740;GO:0016779;GO:0019388;GO:0019637;GO:0033499;GO:0044281;GO:0046872;GO:1901135,BP;CC;MF,00052;00520;01100,PF01087;PF02744,IPR001937;IPR005849;IPR005850;IPR011146;IPR019779
YBR019C,GAL10,GAL10,"UDP-glucose-4-epimerase; catalyzes interconversion of UDP-galactose and UDP-D-glucose in galactose metabolism; also catalyzes conversion of alpha-D-glucose or alpha-D-galactose to their beta-anomers; human homolog GALE implicated in galactosemia, can complement yeast null mutant",S000000223,A0A0L8VV82,GO:0003824;GO:0003978;GO:0004034;GO:0005829;GO:0005975;GO:0005996;GO:0006012;GO:0006796;GO:0016853;GO:0019318;GO:0019388;GO:0019637;GO:0030246;GO:0033499;GO:0044281;GO:1901135,BP;CC;MF,00010;00052;00520;01100;01110,PF01263;PF16363,IPR005886;IPR008183;IPR011013;IPR014718;IPR016040;IPR018052
YBR020W,GAL1,GAL1,"Galactokinase; phosphorylates alpha-D-galactose to alpha-D-galactose-1-phosphate in the first step of galactose catabolism; expression regulated by Gal4p; human homolog GALK2 complements yeast null mutant; GAL1 has a paralog, GAL3, that arose from the whole genome duplication",S000000224,A0A0L8VVG4,GO:0000166;GO:0000411;GO:0004335;GO:0005524;GO:0005737;GO:0005829;GO:0006012;GO:0016301;GO:0016740;GO:0016773;GO:0019388;GO:0033499;GO:0046835,BP;CC;MF,00052;00520;01100,PF00288;PF08544;PF10509,IPR000705;IPR006203;IPR006204;IPR006206;IPR013750;IPR014721;IPR019539;IPR019741;IPR020568
YBR021W,FUR4,FUR4,Plasma membrane localized uracil permease; expression is tightly regulated by uracil levels and environmental cues; conformational alterations induced by unfolding or substrate binding result in Rsp5p-mediated ubiquitination and degradation,S000000225,A0A0L8VV83,GO:0000324;GO:0005886;GO:0015205;GO:0015505;GO:0015851;GO:0015857;GO:0016020;GO:0022857;GO:0032126;GO:0055085;GO:0071944;GO:1903791,BP;CC;MF,,PF02133,IPR001248;IPR012681
YBR022W,POA1,POA1,Phosphatase that is highly specific for ADP-ribose 1''-phosphate; a tRNA splicing metabolite; may have a role in regulation of tRNA splicing,S000000226,A0A0L8VVC2,GO:0005575;GO:0005654;GO:0006388;GO:0006974;GO:0016787;GO:0016791;GO:0042278;GO:0047407,BP;CC;MF,,PF01661,IPR002589
YBR023C,CHS3,CHS3,"Chitin synthase III; catalyzes the transfer of N-acetylglucosamine (GlcNAc) to chitin; required for synthesis of the majority of cell wall chitin, the chitin ring during bud emergence, and spore wall chitosan; contains overlapping di-leucine and di-acidic signals that mediate, respectively, intracellular trafficking by AP-1 and trafficking to plasma membrane by exomer complex; requires AP-3 complex for its intracellular retention",S000000227,A6ZKW9,GO:0000131;GO:0004100;GO:0005628;GO:0005737;GO:0005783;GO:0005829;GO:0005886;GO:0005935;GO:0006031;GO:0016740;GO:0016757;GO:0016758;GO:0030428;GO:0030476;GO:0030659;GO:0031410;GO:0043332;GO:0045009;GO:0071555;GO:0071944;GO:0097271,BP;CC;MF,00520,PF03142;PF22997,IPR004835;IPR029044
YBR024W,SCO2,SCO2,"Protein anchored to mitochondrial inner membrane; may have a redundant function with Sco1p in delivery of copper to cytochrome c oxidase; interacts with Cox2p; SCO2 has a paralog, SCO1, that arose from the whole genome duplication",S000000228,A0A0L8VV77,GO:0005507;GO:0005739;GO:0005743;GO:0006878;GO:0008535;GO:0016531;GO:0031966;GO:0033617;GO:0034599;GO:0045454;GO:0046872,BP;CC;MF,,PF02630,IPR003782;IPR012336;IPR013766;IPR017276
YBR025C,OLA1,OLA1,P-loop ATPase with similarity to human OLA1 and bacterial YchF; identified as specifically interacting with the proteasome; positively regulates heat shock response; null mutant displays increased translation rate and increased readthrough of premature stop codons; protein abundance increases in response to hydrogen peroxide and to DNA replication stress,S000000229,A0A0L8VVF9,GO:0000166;GO:0005524;GO:0005525;GO:0005737;GO:0010494;GO:0016787;GO:0016887;GO:0043022;GO:0043023;GO:0046872;GO:1900036,BP;CC;MF,,PF01926;PF06071,IPR004396;IPR006073;IPR012675;IPR012676;IPR013029;IPR023192;IPR027417;IPR031167
YBR026C,ETR1,ETR1,"2-enoyl thioester reductase; member of the medium chain dehydrogenase/reductase family; localized to mitochondria, where it has a probable role in fatty acid synthesis; human MECR functionally complements the respiratory growth defect of the null mutant",S000000230,A0A0L8VV79,GO:0003677;GO:0005739;GO:0005759;GO:0006629;GO:0006631;GO:0006633;GO:0009060;GO:0016491;GO:0141148,BP;CC;MF,00062;01100,,IPR002085;IPR011032;IPR016040
YBR027C,NA,NA,Protein of unknown function; conserved among S. cerevisiae strains; YBR027C is not an essential gene,S000000231,A0A1D0CT83,GO:0003674;GO:0005575;GO:0008150;GO:0016020,BP;CC;MF,,,
YBR028C,YPK3,YPK3,"AGC kinase; phosphorylated by cAMP-dependent protein kinase (PKA) in a TORC1-dependent manner; directly phosphorylated by TORC1; phosphorylates ribosomal protein Rps6a/b (S6), in a TORC-dependent manner; undergoes autophosphorylation",S000000232,C7GM25,GO:0000166;GO:0004672;GO:0004674;GO:0005524;GO:0005654;GO:0005737;GO:0016301;GO:0016740;GO:0018105;GO:0038202;GO:0046777;GO:0106310,BP;CC;MF,,PF00069;PF00433,IPR000719;IPR000961;IPR008271;IPR011009;IPR017441;IPR017892
